window_index,error,is_anomaly,covers_time_start,covers_time_end
0,1.149248e-06,1,0,19
1,1.1998948e-06,1,1,20
2,1.2285022e-06,1,2,21
3,1.2587482e-06,1,3,22
4,1.265505e-06,1,4,23
5,1.2581654e-06,1,5,24
6,1.2614925e-06,1,6,25
7,1.2341984e-06,1,7,26
8,1.2016645e-06,1,8,27
9,1.2744262e-06,1,9,28
10,1.1267632e-06,1,10,29
11,1.1271279e-06,1,11,30
12,1.1661564e-06,1,12,31
13,1.0890615e-06,1,13,32
14,1.034583e-06,1,14,33
15,9.693327e-07,1,15,34
16,9.1179203e-07,1,16,35
17,8.6625556e-07,1,17,36
18,8.3049133e-07,1,18,37
19,7.9138897e-07,1,19,38
20,7.712713e-07,1,20,39
21,7.496696e-07,1,21,40
22,7.2027643e-07,1,22,41
23,7.0266464e-07,1,23,42
24,6.774884e-07,1,24,43
25,6.5510824e-07,1,25,44
26,6.502965e-07,1,26,45
27,6.296957e-07,1,27,46
28,6.463225e-07,1,28,47
29,6.442368e-07,1,29,48
30,6.6667224e-07,1,30,49
31,6.5963906e-07,1,31,50
32,6.3878616e-07,1,32,51
33,6.188888e-07,1,33,52
34,5.990667e-07,1,34,53
35,5.845728e-07,1,35,54
36,5.7877673e-07,1,36,55
37,5.712804e-07,1,37,56
38,5.593537e-07,1,38,57
39,5.5724956e-07,1,39,58
40,5.537785e-07,0,40,59
41,5.5810585e-07,1,41,60
42,5.367021e-07,0,42,61
43,5.271957e-07,0,43,62
44,5.414648e-07,0,44,63
45,5.4997776e-07,0,45,64
46,5.69984e-07,1,46,65
47,5.7668257e-07,1,47,66
48,5.8525904e-07,1,48,67
49,5.7938416e-07,1,49,68
50,5.8204824e-07,1,50,69
51,5.8101756e-07,1,51,70
52,5.8319665e-07,1,52,71
53,5.761883e-07,1,53,72
54,5.797733e-07,1,54,73
55,5.708423e-07,1,55,74
56,5.704305e-07,1,56,75
57,5.7830795e-07,1,57,76
58,5.787261e-07,1,58,77
59,5.796092e-07,1,59,78
60,5.6558713e-07,1,60,79
61,5.610998e-07,1,61,80
62,5.5555904e-07,1,62,81
63,5.650715e-07,1,63,82
64,5.763334e-07,1,64,83
65,5.7650817e-07,1,65,84
66,5.7033805e-07,1,66,85
67,5.6534276e-07,1,67,86
68,5.5252565e-07,0,68,87
69,5.4967046e-07,0,69,88
70,5.479205e-07,0,70,89
71,5.441985e-07,0,71,90
72,5.3677456e-07,0,72,91
73,5.3893274e-07,0,73,92
74,5.3598023e-07,0,74,93
75,5.3710295e-07,0,75,94
76,5.396211e-07,0,76,95
77,5.2462565e-07,0,77,96
78,5.1220525e-07,0,78,97
79,5.1314925e-07,0,79,98
80,5.162276e-07,0,80,99
81,5.077068e-07,0,81,100
82,5.096707e-07,0,82,101
83,5.0659855e-07,0,83,102
84,5.044899e-07,0,84,103
85,5.131691e-07,0,85,104
86,5.284408e-07,0,86,105
87,5.098089e-07,0,87,106
88,5.089198e-07,0,88,107
89,5.172409e-07,0,89,108
90,5.253193e-07,0,90,109
91,5.333084e-07,0,91,110
92,5.8849974e-07,1,92,111
93,6.3228475e-07,1,93,112
94,7.1409943e-07,1,94,113
95,7.685278e-07,1,95,114
96,8.1335753e-07,1,96,115
97,8.5744335e-07,1,97,116
98,9.184443e-07,1,98,117
99,9.715528e-07,1,99,118
100,1.0308173e-06,1,100,119
101,1.0779493e-06,1,101,120
102,1.1410109e-06,1,102,121
103,1.1822478e-06,1,103,122
104,1.2509746e-06,1,104,123
105,1.288042e-06,1,105,124
106,1.3018508e-06,1,106,125
107,1.3292477e-06,1,107,126
